
1481587515672, 1481587515712, 1481587515735, 1481587515756, 1481587515774, 1481587515788, 1481587515800, 1481587515811, 1481587515823, 1481587515835, 1481587515847, 1481587515859, 1481587515871, 1481587515883, 1481587515894, 1481587515906, 1481587515918, 1481587515930, 1481587515942, 1481587515954, 1481587515966, 1481587515977, 1481587515989, 1481587516001, 1481587516013, 1481587516025, 1481587516037, 1481587516049, 1481587516061, 1481587516072, 1481587516084, 1481587516096, 1481587516108, 1481587516120, 1481587516132, 1481587516143, 1481587516155, 1481587516166, 1481587516178, Crossed entire board: 514

1481587516835, 1481587516861, 1481587516883, 1481587516901, 1481587516914, 1481587516925, 1481587516934, 1481587516942, 1481587516951, 1481587516959, 1481587516968, 1481587516976, 1481587516984, 1481587516993, 1481587517001, 1481587517010, 1481587517018, 1481587517027, 1481587517035, 1481587517044, 1481587517052, 1481587517060, 1481587517069, 1481587517077, 1481587517086, 1481587517094, 1481587517103, 1481587517112, 1481587517120, 1481587517129, 1481587517137, 1481587517145, 1481587517154, 1481587517162, 1481587517171, 1481587517179, 1481587517188, 1481587517196, 1481587517204, Crossed entire board: 377

1481587517717, 1481587517744, 1481587517771, 1481587517795, 1481587517817, 1481587517836, 1481587517853, 1481587517868, 1481587517883, 1481587517898, 1481587517913, 1481587517928, 1481587517942, 1481587517957, 1481587517972, 1481587517987, 1481587518001, 1481587518016, 1481587518031, 1481587518046, 1481587518060, 1481587518075, 1481587518090, 1481587518105, 1481587518119, 1481587518134, 1481587518149, 1481587518163, 1481587518178, 1481587518193, 1481587518208, 1481587518223, 1481587518237, 1481587518252, 1481587518267, 1481587518296, 1481587518323, 1481587518346, 1481587518367, Crossed entire board: 666

1481587518962, 1481587518996, 1481587519026, 1481587519049, 1481587519068, 1481587519086, 1481587519102, 1481587519118, 1481587519133, 1481587519150, 1481587519165, 1481587519180, 1481587519195, 1481587519210, 1481587519225, 1481587519240, 1481587519255, 1481587519270, 1481587519285, 1481587519300, 1481587519315, 1481587519330, 1481587519348, 1481587519369, 1481587519389, 1481587519409, 1481587519428, 1481587519447, 1481587519464, 1481587519480, 1481587519496, 1481587519512, 1481587519528, 1481587519559, 1481587519585, 1481587519609, 1481587519631, 1481587519651, 1481587519668, Crossed entire board: 720

1481587520705, 1481587520739, 1481587520769, 1481587520793, 1481587520814, 1481587520834, 1481587520852, 1481587520870, 1481587520888, 1481587520917, 1481587520945, 1481587520971, 1481587520994, 1481587521015, 1481587521034, 1481587521052, 1481587521069, 1481587521086, 1481587521103, 1481587521120, 1481587521137, 1481587521154, 1481587521171, 1481587521188, 1481587521205, 1481587521221, 1481587521238, 1481587521255, 1481587521272, 1481587521289, 1481587521306, 1481587521323, 1481587521340, 1481587521356, 1481587521373, 1481587521390, 1481587521407, 1481587521424, 1481587521440, Crossed entire board: 749

1481587521917, 1481587521950, 1481587521980, 1481587522005, 1481587522029, 1481587522053, 1481587522076, 1481587522098, 1481587522120, 1481587522143, 1481587522166, 1481587522189, 1481587522211, 1481587522234, 1481587522257, 1481587522280, 1481587522302, 1481587522326, 1481587522352, 1481587522378, 1481587522405, 1481587522431, 1481587522458, 1481587522485, 1481587522512, 1481587522539, 1481587522566, 1481587522592, 1481587522620, 1481587522646, 1481587522674, 1481587522701, 1481587522728, 1481587522755, 1481587522782, 1481587522809, 1481587522836, 1481587522862, 1481587522887, Crossed entire board: 991

